Country Name,Country Code,Indicator Name,Indicator Code,G,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,AFG,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,1,-280000,360000,-20000,20000,-93326.6,690000,-1460000,-10000,6040000,170000,680000,50000000,57799999.9,186900000,271000000,238000000,188690000,46033740,56107246.5,190774432,52173421,56823660,48311346,42975262.5,169146608,93591315.3,51533896.77,119435105.7,23404553.65,12970147.98,20600976.1
Afghanistan,AFG,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,1,,,,,,,,,,,,1.306949882,1.278493241,3.577104201,4.368673134,3.413772948,1.93570173,0.455360449,0.451889149,1.203117994,0.293025177,0.285440892,0.239801183,0.209664794,0.884000459,0.516606084,0.274796791,0.661572216,0.124495986,0.064993957,0.144401058
Afghanistan,AFG,"Personal transfers, receipts (BoP, current US$)",BX.TRF.PWKR.CD,1,,,,,,,,,,,,,,,,,,17636412.34,76642039.99,225736384,71699645.23,119324666.2,179156788,115123782.6,115710097.9,537191231.6,656111101.8,694317882.8,753352554.8,722230409.7,
Afghanistan,AFG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1,,,,,,,,,,,,,,,12.68626872,6.78459655,8.680570785,26.41866415,-6.811161089,2.178537524,11.80418581,6.441212809,7.385771784,4.673996035,-0.661709165,4.383891955,4.975951506,0.626149149,2.302372515,,
Afghanistan,AFG,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,1,,,,,,,,,,,,,,,,8.9675335,7.00919125,8.052705822,10.57508247,11.09194916,11.51016072,10.20062464,9.405609332,8.613730505,10.13111817,12.6780099,13.03926222,,,,
Afghanistan,AFG,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.42081714,14.3421528
Afghanistan,AFG,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.45562833,12.98670367
Afghanistan,AFG,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,13
Afghanistan,AFG,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.28907741,37.06956358
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,1,,,,,,,,,,,,3825701406,4520946849,5224896719,6203256497,6971758333,9747886105,10109296958,12416152648,15856668496,17805098367,19907329906,20146416876,20497128600,19134221745,18116572399,18753456507,18053222735,18799444415,19955929061,14266499430
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1,,,,,,,,,,,,,8.832277813,1.414117981,11.22971482,5.357403251,13.82631955,3.924983822,21.39052839,14.36244147,0.426354785,12.75228709,5.600744658,2.724543364,1.45131466,2.260314201,2.647003202,1.189228128,3.911603419,-2.351100673,-20.73883937
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,1,,,,,,,,,,,,182.1740366,199.6432279,221.8305307,254.1152743,274.0153943,376.3182964,382.5338038,453.3873821,562.4992194,608.7388559,653.4174791,638.7331848,626.5129305,566.8811327,523.0530121,526.1408013,492.0906323,497.7414293,512.0550982,355.7778264
Afghanistan,AFG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1,,,,,,,,,,,,344.2241826,347.4152411,338.7393978,363.5414692,367.4858512,410.8616125,418.5231728,490.2728366,544.6892969,527.1973393,570.6760643,582.1039789,576.4878203,566.8811327,564.9208436,563.4882394,553.9733089,559.1409569,529.1449125,407.6165074
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1,,,,,,,,,,,,,0.927029128,-2.497254639,7.321873841,1.084988201,11.80338266,1.864754466,17.14353433,11.09921992,-3.211364296,8.247144252,2.002522145,-0.964803329,-1.666416415,-0.345802497,-0.253593782,-1.688576593,0.932833389,-5.364665931,-22.96694199
Afghanistan,AFG,Gross savings (% of GDP),NY.GNS.ICTR.ZS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.737769443,
Afghanistan,AFG,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,1,,,,,,,,,,,,,,,,4.684760571,4.174895287,4.383672237,4.810639858,3.479449987,3.462009907,2.604199886,3.454459906,3.695219994,3.255800009,4.543970108,4.343190193,,,,
Afghanistan,AFG,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,1,,,,,,,,,,,,9.44339085,8.94125843,9.80847359,9.94828892,10.62276554,9.90467453,10.25649548,9.81848717,8.56967163,8.56190777,7.89716864,8.80596447,9.52887821,10.10534763,11.81859016,12.62081718,14.20841891,14.8313194,15.53361392,16.82606226
Afghanistan,AFG,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,1,7.942,7.94,7.945,7.947,7.942,7.934,7.932,7.939,7.942,7.942,7.942,7.935,7.929,7.926,7.925,7.925,7.924,7.928,7.923,7.921,7.918,7.914,7.914,7.91,9.002,10.092,11.18,11.131,11.082,11.71,12.075
Africa Eastern and Southern,AFE,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,1,1241968646,652324976.3,839514648.8,1187865944,2662960707,2087426670,5757032203,4121574273,6254804529,4315009006,12205013777,6464122723,8555151107,7979693807,10333881077,7234542920,16122287676,22483230617,18484263836,13934876539,17538712524,24636341954,21534247725,27681420245,28680935068,16660273342,10108286477,13588979646,14898053652,13640224005,54400900543
Africa Eastern and Southern,AFE,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,1,0.503787392,0.279039341,0.361221949,0.505654126,1.012121679,0.799338639,2.089063597,1.588133618,2.436394667,1.551907363,4.81750177,2.493226521,2.481798366,1.858136752,2.056512317,1.267154464,2.471735999,3.231767157,2.59918732,1.63138609,1.833492177,2.520561783,2.185285025,2.751251134,3.081549891,1.880272335,0.983380043,1.338009564,1.497710693,1.481766288,5.039600922
Africa Eastern and Southern,AFE,"Personal transfers, receipts (BoP, current US$)",BX.TRF.PWKR.CD,1,,,,,,,,,,,,,,,,,,4026387615,4808461364,5779046303,7243375142,7665110222,7732168259,9000339741,9429491821,8735814551,8864342479,11209560784,10769718688,10150842271,9798004233
Africa Eastern and Southern,AFE,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1,17.67810026,16.1676124,13.13566077,14.85281498,12.28859126,9.706586325,10.24959874,7.495256007,7.819864776,8.601485149,5.840353983,8.763753664,7.44970014,5.023420686,8.558038022,8.898163802,8.450774806,12.56664466,8.954218024,5.537537916,8.97120641,9.158707155,5.750981334,5.37028961,5.24587835,6.571396422,6.399343416,4.720811389,4.653664731,7.321106434,6.824727093
Africa Eastern and Southern,AFE,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,1,,,,,,,,,,,,,0.594730743,0.626273325,0.627676172,,0.66179179,,,0.586981535,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,1,,,,,,,,,25.16228259,,,,,,,,,,20.82382893,23.0015845,25.04702621,23.93026609,24.45477879,24.06314431,21.59266691,20.8291189,21.99620415,22.25726608,23.54236598,,
